OrderID,Temperature,Humidity,ProductionRate,OperationTime,StartTime
2,23.8,61,90.0,298.0,2024-05-09 15:50:00
2,29.4,65,90.08,298.08,2024-05-09 15:50:05
2,30.2,65,90.17,298.17,2024-05-09 15:50:10
2,25.9,61,90.25,298.25,2024-05-09 15:50:15
2,31.5,66,90.33,298.33,2024-05-09 15:50:20
2,26.8,61,90.42,298.42,2024-05-09 15:50:25
2,30.0,65,90.5,298.5,2024-05-09 15:50:30
2,27.0,66,90.58,298.58,2024-05-09 15:50:35
2,25.8,63,90.67,298.67,2024-05-09 15:50:40
2,29.0,60,90.75,298.75,2024-05-09 15:50:45
2,26.9,64,90.83,298.83,2024-05-09 15:50:50
2,31.8,61,90.92,298.92,2024-05-09 15:50:55
2,23.5,66,91.0,299.0,2024-05-09 15:51:00
2,24.4,68,91.08,299.08,2024-05-09 15:51:05
2,31.3,66,91.17,299.17,2024-05-09 15:51:10
2,27.5,68,91.25,299.25,2024-05-09 15:51:15
2,24.3,62,91.33,299.33,2024-05-09 15:51:20
2,27.4,60,91.42,299.42,2024-05-09 15:51:25
2,30.9,67,91.5,299.5,2024-05-09 15:51:30
2,32.9,64,91.58,299.58,2024-05-09 15:51:35
2,23.0,65,91.67,299.67,2024-05-09 15:51:40
2,29.8,69,91.75,299.75,2024-05-09 15:51:45
2,28.7,62,91.83,299.83,2024-05-09 15:51:50
2,30.1,64,91.92,299.92,2024-05-09 15:51:55
2,25.3,66,92.0,300.0,2024-05-09 15:52:00
2,26.7,66,92.08,300.08,2024-05-09 15:52:05
2,32.7,66,92.17,300.17,2024-05-09 15:52:10
2,31.6,65,92.25,300.25,2024-05-09 15:52:15
2,25.1,60,92.33,300.33,2024-05-09 15:52:20
2,31.3,64,92.42,300.42,2024-05-09 15:52:25
2,23.1,67,92.5,300.5,2024-05-09 15:52:30
2,24.0,60,92.58,300.58,2024-05-09 15:52:35
2,27.7,63,92.67,300.67,2024-05-09 15:52:40
2,31.1,69,92.75,300.75,2024-05-09 15:52:45
2,30.2,64,92.83,300.83,2024-05-09 15:52:50
2,23.4,68,92.92,300.92,2024-05-09 15:52:55
2,32.3,62,93.0,301.0,2024-05-09 15:53:00
2,32.5,63,93.08,301.08,2024-05-09 15:53:05
2,29.7,64,93.17,301.17,2024-05-09 15:53:10
2,26.8,63,93.25,301.25,2024-05-09 15:53:15
2,28.3,63,93.33,301.33,2024-05-09 15:53:20
2,26.6,68,93.42,301.42,2024-05-09 15:53:25
2,31.2,69,93.5,301.5,2024-05-09 15:53:30
2,25.3,61,93.58,301.58,2024-05-09 15:53:35
2,30.6,69,93.67,301.67,2024-05-09 15:53:40
2,25.8,69,93.75,301.75,2024-05-09 15:53:45
2,27.1,68,93.83,301.83,2024-05-09 15:53:50
2,32.0,60,93.92,301.92,2024-05-09 15:53:55
2,32.5,67,94.0,302.0,2024-05-09 15:54:00
2,27.4,64,94.08,302.08,2024-05-09 15:54:05
2,24.4,67,94.17,302.17,2024-05-09 15:54:10
2,32.1,60,94.25,302.25,2024-05-09 15:54:15
2,24.3,64,94.33,302.33,2024-05-09 15:54:20
2,31.6,64,94.42,302.42,2024-05-09 15:54:25
2,27.4,64,94.5,302.5,2024-05-09 15:54:30
2,28.8,69,94.58,302.58,2024-05-09 15:54:35
2,30.5,61,94.67,302.67,2024-05-09 15:54:40
2,27.6,62,94.75,302.75,2024-05-09 15:54:45
2,24.8,69,94.83,302.83,2024-05-09 15:54:50
2,32.7,67,94.92,302.92,2024-05-09 15:54:55
2,24.8,61,95.0,303.0,2024-05-09 15:55:00
