DefectID,QCID,OrderID,Quantity,ProductID,ProductName,DefectType,DefectQuantity,CauseDescription,Status,Defectrate,etc
1,142,142,40,142,꽈베기,색상 불량,12,작업 환경 불량,완료,30,정시 납기 요구
2,231,231,90,231,단팥도넛,표면 오염,20,보관 문제,완료,22,일반 작업 요청
3,465,465,50,465,찹쌀브레드,기타 불량,12,작업 환경 불량,완료,24,특별 공정 필요
4,567,567,70,567,꽈베기,형태 불량,12,작업 환경 불량,완료,17,정시 납기 요구
5,625,625,80,625,찹쌀브레드,기타 불량,13,성형 문제,완료,16,특별 공정 필요
6,643,643,90,643,꽈베기,색상 불량,19,성형 문제,완료,21,정시 납기 요구
7,698,698,40,698,단팥도넛,형태 불량,14,기계 오작동,완료,35,일반 작업 요청
8,843,843,70,843,단팥도넛,형태 불량,12,성형 문제,완료,17,일반 작업 요청
9,1289,1289,40,1289,찹쌀브레드,색상 불량,1,원료 문제,완료,2,특별 공정 필요
10,1292,1292,90,1292,카라멜 러스크,기타 불량,17,성형 문제,완료,18,정시 납기 요구
11,1369,1369,80,1369,꽈베기,형태 불량,4,성형 문제,완료,5,정시 납기 요구
12,1417,1417,70,1417,생크림소보로,형태 불량,1,작업 환경 불량,완료,1,특별 공정 필요
13,1719,1719,80,1719,꿀버터바게트,표면 오염,7,기계 오작동,완료,8,정시 납기 요구
14,1735,1735,80,1735,갈릭꽈베기,표면 오염,17,기계 오작동,완료,21,긴급 작업 요청
15,2175,2175,60,2175,베이글빵,기타 불량,15,기계 오작동,완료,25,일반 작업 요청
16,2175,2175,60,2175,베이글빵,표면 오염,19,성형 문제,완료,31,일반 작업 요청
17,465,465,50,465,찹쌀브레드,기타 불량,13,보관 문제,완료,26,특별 공정 필요
18,843,843,70,843,단팥도넛,형태 불량,3,성형 문제,완료,4,일반 작업 요청
19,2175,2175,60,2175,베이글빵,표면 오염,13,성형 문제,완료,21,일반 작업 요청
20,643,643,90,643,꽈베기,형태 불량,7,기계 오작동,완료,7,정시 납기 요구
21,643,643,90,643,꽈베기,기타 불량,1,기계 오작동,완료,1,정시 납기 요구
22,698,698,40,698,단팥도넛,표면 오염,11,성형 문제,완료,27,일반 작업 요청
23,231,231,90,231,단팥도넛,형태 불량,8,보관 문제,완료,8,일반 작업 요청
24,1719,1719,80,1719,꿀버터바게트,색상 불량,3,원료 문제,완료,3,정시 납기 요구
25,625,625,80,625,찹쌀브레드,색상 불량,1,원료 문제,완료,1,특별 공정 필요
26,698,698,40,698,단팥도넛,형태 불량,14,성형 문제,완료,35,일반 작업 요청
27,1735,1735,80,1735,갈릭꽈베기,색상 불량,16,작업 환경 불량,완료,20,긴급 작업 요청
28,567,567,70,567,꽈베기,기타 불량,3,작업 환경 불량,완료,4,정시 납기 요구
29,843,843,70,843,단팥도넛,크기 불일치,5,보관 문제,완료,7,일반 작업 요청
30,1292,1292,90,1292,카라멜 러스크,크기 불일치,9,보관 문제,완료,10,정시 납기 요구
31,1289,1289,40,1289,찹쌀브레드,색상 불량,9,성형 문제,완료,22,특별 공정 필요
32,1417,1417,70,1417,생크림소보로,형태 불량,20,작업 환경 불량,완료,28,특별 공정 필요
33,1735,1735,80,1735,갈릭꽈베기,색상 불량,20,성형 문제,완료,25,긴급 작업 요청
34,567,567,70,567,꽈베기,색상 불량,17,작업 환경 불량,완료,24,정시 납기 요구
35,843,843,70,843,단팥도넛,표면 오염,14,성형 문제,완료,20,일반 작업 요청
36,231,231,90,231,단팥도넛,크기 불일치,15,보관 문제,완료,16,일반 작업 요청
37,567,567,70,567,꽈베기,표면 오염,19,기계 오작동,완료,27,정시 납기 요구
38,231,231,90,231,단팥도넛,기타 불량,5,기계 오작동,완료,5,일반 작업 요청
39,698,698,40,698,단팥도넛,형태 불량,13,작업 환경 불량,완료,32,일반 작업 요청
40,142,142,40,142,꽈베기,표면 오염,3,작업 환경 불량,완료,7,정시 납기 요구
41,698,698,40,698,단팥도넛,색상 불량,10,작업 환경 불량,완료,25,일반 작업 요청
42,1735,1735,80,1735,갈릭꽈베기,표면 오염,13,보관 문제,완료,16,긴급 작업 요청
43,1289,1289,40,1289,찹쌀브레드,형태 불량,3,기계 오작동,완료,7,특별 공정 필요
44,1735,1735,80,1735,갈릭꽈베기,크기 불일치,17,원료 문제,완료,21,긴급 작업 요청
45,1292,1292,90,1292,카라멜 러스크,기타 불량,6,작업 환경 불량,완료,6,정시 납기 요구
46,1292,1292,90,1292,카라멜 러스크,표면 오염,17,보관 문제,완료,18,정시 납기 요구
47,625,625,80,625,찹쌀브레드,기타 불량,17,원료 문제,완료,21,특별 공정 필요
48,1369,1369,80,1369,꽈베기,표면 오염,13,원료 문제,완료,16,정시 납기 요구
49,1292,1292,90,1292,카라멜 러스크,표면 오염,18,원료 문제,완료,20,정시 납기 요구
50,625,625,80,625,찹쌀브레드,크기 불일치,6,기계 오작동,완료,7,특별 공정 필요
51,643,643,90,643,꽈베기,색상 불량,14,보관 문제,완료,15,정시 납기 요구
52,625,625,80,625,찹쌀브레드,표면 오염,7,작업 환경 불량,완료,8,특별 공정 필요
53,142,142,40,142,꽈베기,기타 불량,17,기계 오작동,완료,42,정시 납기 요구
54,465,465,50,465,찹쌀브레드,크기 불일치,1,원료 문제,완료,2,특별 공정 필요
55,1292,1292,90,1292,카라멜 러스크,형태 불량,8,성형 문제,완료,8,정시 납기 요구
56,142,142,40,142,꽈베기,형태 불량,10,기계 오작동,완료,25,정시 납기 요구
57,2175,2175,60,2175,베이글빵,크기 불일치,5,보관 문제,완료,8,일반 작업 요청
58,1292,1292,90,1292,카라멜 러스크,기타 불량,11,성형 문제,완료,12,정시 납기 요구
59,1292,1292,90,1292,카라멜 러스크,색상 불량,18,보관 문제,완료,20,정시 납기 요구
60,231,231,90,231,단팥도넛,표면 오염,14,기계 오작동,완료,15,일반 작업 요청
61,843,843,70,843,단팥도넛,기타 불량,19,작업 환경 불량,완료,27,일반 작업 요청
62,567,567,70,567,꽈베기,색상 불량,13,원료 문제,완료,18,정시 납기 요구
63,2175,2175,60,2175,베이글빵,형태 불량,17,원료 문제,완료,28,일반 작업 요청
64,1289,1289,40,1289,찹쌀브레드,표면 오염,1,성형 문제,완료,2,특별 공정 필요
65,1735,1735,80,1735,갈릭꽈베기,기타 불량,19,작업 환경 불량,완료,23,긴급 작업 요청
66,698,698,40,698,단팥도넛,형태 불량,6,원료 문제,완료,15,일반 작업 요청
67,1289,1289,40,1289,찹쌀브레드,색상 불량,8,성형 문제,완료,20,특별 공정 필요
68,2175,2175,60,2175,베이글빵,기타 불량,6,성형 문제,완료,10,일반 작업 요청
69,1735,1735,80,1735,갈릭꽈베기,색상 불량,1,작업 환경 불량,완료,1,긴급 작업 요청
70,231,231,90,231,단팥도넛,형태 불량,18,성형 문제,완료,20,일반 작업 요청
71,1719,1719,80,1719,꿀버터바게트,크기 불일치,9,기계 오작동,완료,11,정시 납기 요구
72,2175,2175,60,2175,베이글빵,기타 불량,3,보관 문제,완료,5,일반 작업 요청
73,1719,1719,80,1719,꿀버터바게트,기타 불량,6,보관 문제,완료,7,정시 납기 요구
74,1417,1417,70,1417,생크림소보로,표면 오염,1,성형 문제,완료,1,특별 공정 필요
75,1369,1369,80,1369,꽈베기,표면 오염,2,기계 오작동,완료,2,정시 납기 요구
76,1289,1289,40,1289,찹쌀브레드,표면 오염,9,원료 문제,완료,22,특별 공정 필요
