QCID,OrderID,Quantity,ProductID,ProductName,TestResult,TestDate,etc
1,1,60,1,라우겐,합격,2024-01-04 22:40:00,긴급 작업 요청
2,2,40,2,애플파이,합격,2024-01-03 22:40:00,긴급 작업 요청
3,3,60,3,우유도넛,합격,2024-01-03 22:40:00,일반 작업 요청
4,4,40,4,찹쌀브레드,합격,2024-01-02 22:40:00,특별 공정 필요
5,5,70,5,갈릭꽈베기,합격,2024-01-02 22:40:00,긴급 작업 요청
6,6,90,6,생크림소보로,합격,2024-01-03 22:40:00,특별 공정 필요
7,7,90,7,단팥도넛,합격,2024-01-04 13:40:00,일반 작업 요청
8,8,40,8,생크림소보로,합격,2024-01-03 13:40:00,특별 공정 필요
9,9,60,9,카라멜 러스크,합격,2024-01-05 13:40:00,정시 납기 요구
10,10,80,10,우유도넛,합격,2024-01-04 13:40:00,일반 작업 요청
11,11,70,11,꽈베기,합격,2024-01-05 13:40:00,정시 납기 요구
12,12,90,12,갈릭꽈베기,합격,2024-01-05 13:40:00,긴급 작업 요청
13,13,50,13,꿀버터바게트,합격,2024-01-03 13:40:00,정시 납기 요구
14,14,50,14,라우겐,합격,2024-01-03 13:40:00,긴급 작업 요청
15,15,80,15,고구마케이크빵,합격,2024-01-05 13:40:00,특별 공정 필요
16,16,70,16,애플파이,합격,2024-01-05 13:40:00,긴급 작업 요청
17,17,60,17,꽈베기,합격,2024-01-06 13:40:00,정시 납기 요구
18,18,90,18,카라멜 러스크,합격,2024-01-06 13:40:00,정시 납기 요구
19,19,60,19,생크림소보로,합격,2024-01-05 13:40:00,특별 공정 필요
20,20,50,20,우유도넛,합격,2024-01-06 13:40:00,일반 작업 요청
21,21,70,21,고구마케이크빵,합격,2024-01-04 22:40:00,특별 공정 필요
22,22,80,22,애플파이,합격,2024-01-04 22:40:00,긴급 작업 요청
23,23,80,23,꽈베기,합격,2024-01-04 22:40:00,정시 납기 요구
24,24,90,24,카라멜 러스크,합격,2024-01-06 22:40:00,정시 납기 요구
25,25,80,25,생크림소보로,합격,2024-01-06 22:40:00,특별 공정 필요
26,26,60,26,우유도넛,합격,2024-01-06 22:40:00,일반 작업 요청
27,27,60,27,꿀버터바게트,합격,2024-01-06 13:40:00,정시 납기 요구
28,28,80,28,라우겐,합격,2024-01-05 13:40:00,긴급 작업 요청
29,29,70,29,고구마케이크빵,합격,2024-01-07 13:40:00,특별 공정 필요
30,30,60,30,카라멜 러스크,합격,2024-01-07 13:40:00,정시 납기 요구
31,31,80,31,단팥도넛,합격,2024-01-07 13:40:00,일반 작업 요청
32,32,50,32,애플파이,합격,2024-01-08 13:40:00,긴급 작업 요청
33,33,70,33,베이글빵,합격,2024-01-08 13:40:00,일반 작업 요청
34,34,40,34,우유도넛,합격,2024-01-07 13:40:00,일반 작업 요청
35,35,90,35,라우겐,합격,2024-01-08 13:40:00,긴급 작업 요청
36,36,80,36,꿀버터바게트,합격,2024-01-06 13:40:00,정시 납기 요구
37,37,40,37,카라멜 러스크,합격,2024-01-06 13:40:00,정시 납기 요구
38,38,80,38,애플파이,합격,2024-01-08 22:40:00,긴급 작업 요청
39,39,60,39,베이글빵,합격,2024-01-07 22:40:00,일반 작업 요청
40,40,70,40,우유도넛,합격,2024-01-06 22:40:00,일반 작업 요청
41,41,40,41,라우겐,합격,2024-01-08 22:40:00,긴급 작업 요청
42,42,40,42,꿀버터바게트,합격,2024-01-07 22:40:00,정시 납기 요구
43,43,40,43,카라멜 러스크,합격,2024-01-06 22:40:00,정시 납기 요구
44,44,60,44,찹쌀브레드,합격,2024-01-07 13:40:00,특별 공정 필요
45,45,50,45,갈릭꽈베기,합격,2024-01-07 13:40:00,긴급 작업 요청
46,46,90,46,라우겐,합격,2024-01-08 13:40:00,긴급 작업 요청
47,47,70,47,우유도넛,합격,2024-01-08 13:40:00,일반 작업 요청
48,48,60,48,찹쌀브레드,합격,2024-01-07 22:40:00,특별 공정 필요
49,49,60,49,갈릭꽈베기,합격,2024-01-08 22:40:00,긴급 작업 요청
50,50,50,50,라우겐,합격,2024-01-07 22:40:00,긴급 작업 요청
51,51,50,51,우유도넛,합격,2024-01-09 22:40:00,일반 작업 요청
52,52,70,52,라우겐,합격,2024-01-08 22:40:00,긴급 작업 요청
53,53,90,53,고구마케이크빵,합격,2024-01-10 22:40:00,특별 공정 필요
54,54,40,54,우유도넛,합격,2024-01-09 22:40:00,일반 작업 요청
55,55,90,55,꽈베기,합격,2024-01-08 22:40:00,정시 납기 요구
56,56,80,56,라우겐,합격,2024-01-09 22:40:00,긴급 작업 요청
57,57,60,57,단팥도넛,합격,2024-01-09 22:40:00,일반 작업 요청
58,58,40,58,카라멜 러스크,합격,2024-01-11 22:40:00,정시 납기 요구
59,59,70,59,생크림소보로,합격,2024-01-10 22:40:00,특별 공정 필요
60,60,70,60,애플파이,합격,2024-01-11 22:40:00,긴급 작업 요청
61,61,70,61,우유도넛,합격,2024-01-10 22:40:00,일반 작업 요청
62,62,60,62,카라멜 러스크,합격,2024-01-11 22:40:00,정시 납기 요구
63,63,80,63,라우겐,합격,2024-01-10 22:40:00,긴급 작업 요청
64,64,50,64,단팥도넛,합격,2024-01-12 22:40:00,일반 작업 요청
65,65,70,65,갈릭꽈베기,합격,2024-01-11 22:40:00,긴급 작업 요청
66,66,60,66,꽈베기,합격,2024-01-10 22:40:00,정시 납기 요구
67,67,50,67,고구마케이크빵,합격,2024-01-11 13:40:00,특별 공정 필요
68,68,80,68,베이글빵,합격,2024-01-13 13:40:00,일반 작업 요청
69,69,90,69,애플파이,합격,2024-01-13 13:40:00,긴급 작업 요청
70,70,70,70,우유도넛,합격,2024-01-12 13:40:00,일반 작업 요청
71,71,40,71,카라멜 러스크,합격,2024-01-13 13:40:00,정시 납기 요구
72,72,80,72,찹쌀브레드,합격,2024-01-11 13:40:00,특별 공정 필요
73,73,40,73,고구마케이크빵,합격,2024-01-12 22:40:00,특별 공정 필요
74,74,70,74,베이글빵,합격,2024-01-12 22:40:00,일반 작업 요청
75,75,40,75,애플파이,합격,2024-01-11 22:40:00,긴급 작업 요청
76,76,80,76,우유도넛,합격,2024-01-13 22:40:00,일반 작업 요청
77,77,80,77,카라멜 러스크,합격,2024-01-13 22:40:00,정시 납기 요구
78,78,60,78,찹쌀브레드,합격,2024-01-12 22:40:00,특별 공정 필요
79,79,80,79,애플파이,합격,2024-01-13 13:40:00,긴급 작업 요청
80,80,60,80,꿀버터바게트,합격,2024-01-12 13:40:00,정시 납기 요구
81,81,90,81,갈릭꽈베기,합격,2024-01-12 13:40:00,긴급 작업 요청
82,82,60,82,애플파이,합격,2024-01-13 13:40:00,긴급 작업 요청
83,83,50,83,베이글빵,합격,2024-01-13 13:40:00,일반 작업 요청
84,84,60,84,꿀버터바게트,합격,2024-01-13 13:40:00,정시 납기 요구
85,85,70,85,우유도넛,합격,2024-01-15 13:40:00,일반 작업 요청
86,86,80,86,찹쌀브레드,합격,2024-01-14 13:40:00,특별 공정 필요
87,87,40,87,고구마케이크빵,합격,2024-01-15 13:40:00,특별 공정 필요
88,88,60,88,애플파이,합격,2024-01-15 22:40:00,긴급 작업 요청
89,89,90,89,베이글빵,합격,2024-01-14 22:40:00,일반 작업 요청
90,90,90,90,꿀버터바게트,합격,2024-01-15 22:40:00,정시 납기 요구
91,91,90,91,우유도넛,합격,2024-01-15 22:40:00,일반 작업 요청
92,92,80,92,찹쌀브레드,합격,2024-01-15 22:40:00,특별 공정 필요
93,93,90,93,고구마케이크빵,합격,2024-01-15 22:40:00,특별 공정 필요
94,94,40,94,카라멜 러스크,합격,2024-01-16 22:40:00,정시 납기 요구
95,95,90,95,우유도넛,합격,2024-01-16 22:40:00,일반 작업 요청
96,96,90,96,꽈베기,합격,2024-01-16 22:40:00,정시 납기 요구
97,97,90,97,라우겐,합격,2024-01-16 22:40:00,긴급 작업 요청
98,98,40,98,찹쌀브레드,합격,2024-01-15 22:40:00,특별 공정 필요
99,99,50,99,생크림소보로,합격,2024-01-15 22:40:00,특별 공정 필요
100,100,40,100,고구마케이크빵,합격,2024-01-16 22:40:00,특별 공정 필요
101,101,90,101,단팥도넛,합격,2024-01-15 13:40:00,일반 작업 요청
102,102,70,102,꽈베기,합격,2024-01-17 13:40:00,정시 납기 요구
103,103,70,103,베이글빵,합격,2024-01-16 13:40:00,일반 작업 요청
104,104,50,104,애플파이,합격,2024-01-17 13:40:00,긴급 작업 요청
105,105,80,105,갈릭꽈베기,합격,2024-01-16 13:40:00,긴급 작업 요청
106,106,40,106,찹쌀브레드,합격,2024-01-17 13:40:00,특별 공정 필요
107,107,80,107,꿀버터바게트,합격,2024-01-15 13:40:00,정시 납기 요구
108,108,70,108,고구마케이크빵,합격,2024-01-17 13:40:00,특별 공정 필요
