OrderID,ProductID,ProductName,Quantity,StartDate,EndDate,Priority,etc
1,1,라우겐,60,2024-01-01 18:00:00,2024-01-01 22:40:00,우선순위 3,긴급 작업 요청
2,2,애플파이,40,2024-01-01 18:00:00,2024-01-01 22:40:00,우선순위 2,긴급 작업 요청
3,3,우유도넛,60,2024-01-01 18:00:00,2024-01-01 22:40:00,우선순위 3,일반 작업 요청
4,4,찹쌀브레드,40,2024-01-01 18:00:00,2024-01-01 22:40:00,우선순위 4,특별 공정 필요
5,5,갈릭꽈베기,70,2024-01-01 18:00:00,2024-01-01 22:40:00,우선순위 80,긴급 작업 요청
6,6,생크림소보로,90,2024-01-01 18:00:00,2024-01-01 22:40:00,우선순위 4,특별 공정 필요
7,7,단팥도넛,90,2024-01-02 09:00:00,2024-01-02 13:40:00,우선순위 4,일반 작업 요청
8,8,생크림소보로,40,2024-01-02 09:00:00,2024-01-02 13:40:00,우선순위 4,특별 공정 필요
9,9,카라멜 러스크,60,2024-01-02 09:00:00,2024-01-02 13:40:00,우선순위 2,정시 납기 요구
10,10,우유도넛,80,2024-01-02 09:00:00,2024-01-02 13:40:00,우선순위 3,일반 작업 요청
11,11,꽈베기,70,2024-01-02 09:00:00,2024-01-02 13:40:00,우선순위 6,정시 납기 요구
12,12,갈릭꽈베기,90,2024-01-02 09:00:00,2024-01-02 13:40:00,우선순위 80,긴급 작업 요청
13,13,꿀버터바게트,50,2024-01-02 09:00:00,2024-01-02 13:40:00,우선순위 3,정시 납기 요구
14,14,라우겐,50,2024-01-02 09:00:00,2024-01-02 13:40:00,우선순위 3,긴급 작업 요청
15,15,고구마케이크빵,80,2024-01-03 09:00:00,2024-01-03 13:40:00,우선순위 5,특별 공정 필요
16,16,애플파이,70,2024-01-03 09:00:00,2024-01-03 13:40:00,우선순위 2,긴급 작업 요청
17,17,꽈베기,60,2024-01-03 09:00:00,2024-01-03 13:40:00,우선순위 6,정시 납기 요구
18,18,카라멜 러스크,90,2024-01-03 09:00:00,2024-01-03 13:40:00,우선순위 2,정시 납기 요구
19,19,생크림소보로,60,2024-01-03 09:00:00,2024-01-03 13:40:00,우선순위 4,특별 공정 필요
20,20,우유도넛,50,2024-01-03 09:00:00,2024-01-03 13:40:00,우선순위 3,일반 작업 요청
21,21,고구마케이크빵,70,2024-01-03 18:00:00,2024-01-03 22:40:00,우선순위 5,특별 공정 필요
22,22,애플파이,80,2024-01-03 18:00:00,2024-01-03 22:40:00,우선순위 2,긴급 작업 요청
23,23,꽈베기,80,2024-01-03 18:00:00,2024-01-03 22:40:00,우선순위 6,정시 납기 요구
24,24,카라멜 러스크,90,2024-01-03 18:00:00,2024-01-03 22:40:00,우선순위 2,정시 납기 요구
25,25,생크림소보로,80,2024-01-03 18:00:00,2024-01-03 22:40:00,우선순위 4,특별 공정 필요
26,26,우유도넛,60,2024-01-03 18:00:00,2024-01-03 22:40:00,우선순위 3,일반 작업 요청
27,27,꿀버터바게트,60,2024-01-04 09:00:00,2024-01-04 13:40:00,우선순위 3,정시 납기 요구
28,28,라우겐,80,2024-01-04 09:00:00,2024-01-04 13:40:00,우선순위 3,긴급 작업 요청
29,29,고구마케이크빵,70,2024-01-04 09:00:00,2024-01-04 13:40:00,우선순위 5,특별 공정 필요
30,30,카라멜 러스크,60,2024-01-04 09:00:00,2024-01-04 13:40:00,우선순위 2,정시 납기 요구
31,31,단팥도넛,80,2024-01-04 09:00:00,2024-01-04 13:40:00,우선순위 4,일반 작업 요청
32,32,애플파이,50,2024-01-05 09:00:00,2024-01-05 13:40:00,우선순위 2,긴급 작업 요청
33,33,베이글빵,70,2024-01-05 09:00:00,2024-01-05 13:40:00,우선순위 4,일반 작업 요청
34,34,우유도넛,40,2024-01-05 09:00:00,2024-01-05 13:40:00,우선순위 3,일반 작업 요청
35,35,라우겐,90,2024-01-05 09:00:00,2024-01-05 13:40:00,우선순위 3,긴급 작업 요청
36,36,꿀버터바게트,80,2024-01-05 09:00:00,2024-01-05 13:40:00,우선순위 3,정시 납기 요구
37,37,카라멜 러스크,40,2024-01-05 09:00:00,2024-01-05 13:40:00,우선순위 2,정시 납기 요구
38,38,애플파이,80,2024-01-05 18:00:00,2024-01-05 22:40:00,우선순위 2,긴급 작업 요청
39,39,베이글빵,60,2024-01-05 18:00:00,2024-01-05 22:40:00,우선순위 4,일반 작업 요청
40,40,우유도넛,70,2024-01-05 18:00:00,2024-01-05 22:40:00,우선순위 3,일반 작업 요청
41,41,라우겐,40,2024-01-05 18:00:00,2024-01-05 22:40:00,우선순위 3,긴급 작업 요청
42,42,꿀버터바게트,40,2024-01-05 18:00:00,2024-01-05 22:40:00,우선순위 3,정시 납기 요구
43,43,카라멜 러스크,40,2024-01-05 18:00:00,2024-01-05 22:40:00,우선순위 2,정시 납기 요구
44,44,찹쌀브레드,60,2024-01-06 09:00:00,2024-01-06 13:40:00,우선순위 4,특별 공정 필요
45,45,갈릭꽈베기,50,2024-01-06 09:00:00,2024-01-06 13:40:00,우선순위 80,긴급 작업 요청
46,46,라우겐,90,2024-01-06 09:00:00,2024-01-06 13:40:00,우선순위 3,긴급 작업 요청
