DefectID,QCID,OrderID,Quantity,ProductID,ProductName,DefectType,DefectQuantity,CauseDescription,Status,Defectrate,etc
1,1,1,150,13,캐찰빵,모양 불량,10,원인 미상,완료,1,추가 정보 없음
2,2,2,200,13,캐찰빵,모양 불량,9,원인 미상,완료,2,추가 정보 없음
3,3,3,100,2,단팥도넛,모양 불량,6,원인 미상,미처리,3,추가 정보 없음
4,4,4,50,11,찹쌀브레드,색상 불량,8,원인 미상,미처리,5,추가 정보 없음
5,5,5,100,8,꿀버터바게트,모양 불량,4,원인 미상,미처리,1,추가 정보 없음
6,6,6,150,4,꽈베기,모양 불량,8,원인 미상,완료,3,추가 정보 없음
7,7,7,200,6,베이글빵,크기 불량,4,원인 미상,미처리,5,추가 정보 없음
8,8,8,200,3,고구마케이크빵,크기 불량,5,원인 미상,미처리,4,추가 정보 없음
9,9,9,50,10,우유도넛,크기 불량,4,원인 미상,완료,5,추가 정보 없음
10,10,10,200,10,우유도넛,모양 불량,2,원인 미상,미처리,4,추가 정보 없음
11,11,11,100,12,카라멜 러스크,모양 불량,4,원인 미상,완료,2,추가 정보 없음
12,12,12,150,6,베이글빵,크기 불량,1,원인 미상,완료,4,추가 정보 없음
13,13,13,50,7,생크림소보로,모양 불량,4,원인 미상,완료,1,추가 정보 없음
14,14,14,100,12,카라멜 러스크,크기 불량,5,원인 미상,완료,3,추가 정보 없음
15,15,15,50,8,꿀버터바게트,색상 불량,2,원인 미상,미처리,3,추가 정보 없음
16,16,16,150,2,단팥도넛,색상 불량,10,원인 미상,미처리,3,추가 정보 없음
17,17,17,50,2,단팥도넛,모양 불량,3,원인 미상,미처리,1,추가 정보 없음
18,18,18,200,1,갈릭꽈베기,크기 불량,2,원인 미상,미처리,5,추가 정보 없음
19,19,19,200,4,꽈베기,크기 불량,6,원인 미상,완료,3,추가 정보 없음
20,20,20,150,6,베이글빵,모양 불량,9,원인 미상,미처리,3,추가 정보 없음
21,21,21,200,1,갈릭꽈베기,크기 불량,4,원인 미상,완료,4,추가 정보 없음
22,22,22,50,1,갈릭꽈베기,크기 불량,1,원인 미상,완료,2,추가 정보 없음
23,23,23,150,9,애플파이,색상 불량,1,원인 미상,미처리,5,추가 정보 없음
24,24,24,200,8,꿀버터바게트,모양 불량,6,원인 미상,완료,5,추가 정보 없음
25,25,25,50,1,갈릭꽈베기,모양 불량,4,원인 미상,미처리,2,추가 정보 없음
26,26,26,100,1,갈릭꽈베기,크기 불량,1,원인 미상,완료,5,추가 정보 없음
27,27,27,50,10,우유도넛,크기 불량,10,원인 미상,완료,4,추가 정보 없음
28,28,28,50,3,고구마케이크빵,모양 불량,4,원인 미상,미처리,3,추가 정보 없음
29,29,29,150,9,애플파이,모양 불량,8,원인 미상,완료,2,추가 정보 없음
30,30,30,50,9,애플파이,색상 불량,8,원인 미상,미처리,3,추가 정보 없음
31,31,31,50,13,캐찰빵,크기 불량,4,원인 미상,완료,4,추가 정보 없음
32,32,32,50,4,꽈베기,색상 불량,6,원인 미상,완료,4,추가 정보 없음
33,33,33,100,3,고구마케이크빵,모양 불량,8,원인 미상,미처리,4,추가 정보 없음
34,34,34,50,2,단팥도넛,모양 불량,8,원인 미상,완료,1,추가 정보 없음
35,35,35,200,5,라우겐,모양 불량,8,원인 미상,완료,3,추가 정보 없음
36,36,36,100,3,고구마케이크빵,색상 불량,9,원인 미상,미처리,2,추가 정보 없음
37,37,37,100,11,찹쌀브레드,크기 불량,8,원인 미상,완료,5,추가 정보 없음
38,38,38,200,10,우유도넛,모양 불량,6,원인 미상,미처리,4,추가 정보 없음
39,39,39,100,3,고구마케이크빵,모양 불량,7,원인 미상,미처리,2,추가 정보 없음
40,40,40,100,13,캐찰빵,모양 불량,5,원인 미상,완료,4,추가 정보 없음
41,41,41,50,7,생크림소보로,색상 불량,5,원인 미상,미처리,2,추가 정보 없음
42,42,42,200,7,생크림소보로,크기 불량,3,원인 미상,완료,1,추가 정보 없음
43,43,43,200,3,고구마케이크빵,모양 불량,1,원인 미상,완료,5,추가 정보 없음
44,44,44,150,7,생크림소보로,색상 불량,3,원인 미상,완료,4,추가 정보 없음
45,45,45,150,4,꽈베기,크기 불량,9,원인 미상,미처리,3,추가 정보 없음
