OrderID,Temperature,Humidity,ProductionRate,OperationTime,StartTime
1,28,62.2,0,0,2024-04-23 8:00
1,27.8,64.1,0.1,0.2,2024-04-23 8:00
1,28.1,66,0.1,0.3,2024-04-23 8:00
1,28,64.8,0.2,0.5,2024-04-23 8:00
1,28,63.3,0.2,0.7,2024-04-23 8:00
1,28.1,65.3,0.3,0.8,2024-04-23 8:00
1,27.9,65,0.3,1,2024-04-23 8:01
1,28,65.4,0.4,1.2,2024-04-23 8:01
1,28,62.5,0.5,1.3,2024-04-23 8:01
1,28.1,64.9,0.5,1.5,2024-04-23 8:01
1,28.1,60.4,0.6,1.7,2024-04-23 8:01
1,28.1,67.1,0.6,1.8,2024-04-23 8:01
1,28.1,65.8,0.7,2,2024-04-23 8:02
1,28.2,67.4,0.8,2.2,2024-04-23 8:02
1,28,71.1,0.8,2.3,2024-04-23 8:02
1,28,68.6,0.9,2.5,2024-04-23 8:02
1,28.1,65.1,0.9,2.7,2024-04-23 8:02
1,27.8,63.5,1,2.8,2024-04-23 8:02
1,28.1,66.1,1,3,2024-04-23 8:03
1,27.9,66.3,1.1,3.2,2024-04-23 8:03
1,27.9,63.1,1.2,3.3,2024-04-23 8:03
1,27.9,66.1,1.2,3.5,2024-04-23 8:03
1,28.1,66.6,1.3,3.7,2024-04-23 8:03
1,28.1,64.9,1.3,3.8,2024-04-23 8:03
1,27.9,66.1,1.4,4,2024-04-23 8:04
1,27.9,63.8,1.5,4.2,2024-04-23 8:04
1,28.1,63.8,1.5,4.3,2024-04-23 8:04
1,28.1,66.6,1.6,4.5,2024-04-23 8:04
1,27.9,64.9,1.6,4.7,2024-04-23 8:04
1,28,64.3,1.7,4.8,2024-04-23 8:04
1,28,64.8,1.7,5,2024-04-23 8:05
1,28,65.5,1.8,5.2,2024-04-23 8:05
1,28,67.3,1.9,5.3,2024-04-23 8:05
1,28,64.6,1.9,5.5,2024-04-23 8:05
1,28.2,61.4,2,5.7,2024-04-23 8:05
1,27.9,69.1,2,5.8,2024-04-23 8:05
1,27.9,65.7,2.1,6,2024-04-23 8:06
1,27.8,67,2.2,6.2,2024-04-23 8:06
1,27.9,68.3,2.2,6.3,2024-04-23 8:06
1,28,67.5,2.3,6.5,2024-04-23 8:06
1,28,67.9,2.3,6.7,2024-04-23 8:06
1,28,63.9,2.4,6.8,2024-04-23 8:06
1,28.1,64.7,2.4,7,2024-04-23 8:07
1,28,65,2.5,7.2,2024-04-23 8:07
1,28,67.5,2.6,7.3,2024-04-23 8:07
1,28.1,66.2,2.6,7.5,2024-04-23 8:07
1,28.1,67.3,2.7,7.7,2024-04-23 8:07
1,28,65.8,2.7,7.8,2024-04-23 8:07
1,28,64.8,2.8,8,2024-04-23 8:08
1,28.1,63.3,2.9,8.2,2024-04-23 8:08
1,27.9,61.7,2.9,8.3,2024-04-23 8:08
1,27.8,61.4,3,8.5,2024-04-23 8:08
1,28.1,66.2,3,8.7,2024-04-23 8:08
1,27.9,64.4,3.1,8.8,2024-04-23 8:08
1,28.1,67.9,3.1,9,2024-04-23 8:09
1,28.1,64,3.2,9.2,2024-04-23 8:09
1,28,65.3,3.3,9.3,2024-04-23 8:09
1,28.1,69.1,3.3,9.5,2024-04-23 8:09
1,28.1,66.7,3.4,9.7,2024-04-23 8:09
1,28,65,3.4,9.8,2024-04-23 8:09
1,28.1,67.9,3.5,10,2024-04-23 8:10
1,28.1,64.1,3.6,10.2,2024-04-23 8:10
1,27.9,66,3.6,10.3,2024-04-23 8:10
1,27.9,66.6,3.7,10.5,2024-04-23 8:10
1,28,67.4,3.7,10.7,2024-04-23 8:10
1,27.7,64.8,3.8,10.8,2024-04-23 8:10
1,28,63,3.8,11,2024-04-23 8:11
1,28,63.9,3.9,11.2,2024-04-23 8:11
1,28.1,65,4,11.3,2024-04-23 8:11
1,28.1,65.8,4,11.5,2024-04-23 8:11
1,28.2,63.6,4.1,11.7,2024-04-23 8:11
1,28,63.7,4.1,11.8,2024-04-23 8:11
1,28.1,67.3,4.2,12,2024-04-23 8:12
1,27.8,62.7,4.3,12.2,2024-04-23 8:12
1,28.3,64.1,4.3,12.3,2024-04-23 8:12
1,27.9,62.1,4.4,12.5,2024-04-23 8:12
1,28,63.9,4.4,12.7,2024-04-23 8:12
1,28,63.8,4.5,12.8,2024-04-23 8:12
