OrderID,ProductID,Quantity,StartDate,EndDate,Priority,etc,ProductName
1,13,150,2024-01-01 08:00:00,2024-01-01 16:00:00,Medium,일반 작업,캐찰빵
2,13,200,2024-01-04 08:00:00,2024-01-04 16:00:00,Low,일반 작업,캐찰빵
3,2,100,2024-01-07 08:00:00,2024-01-07 16:00:00,High,일반 작업,단팥도넛
4,11,50,2024-01-10 08:00:00,2024-01-10 16:00:00,High,일반 작업,찹쌀브레드
5,8,100,2024-01-13 08:00:00,2024-01-13 16:00:00,Medium,일반 작업,꿀버터바게트
6,4,150,2024-01-16 08:00:00,2024-01-16 16:00:00,Low,일반 작업,꽈베기
7,6,200,2024-01-19 08:00:00,2024-01-19 16:00:00,Medium,일반 작업,베이글빵
8,3,200,2024-01-22 08:00:00,2024-01-22 16:00:00,Low,일반 작업,고구마케이크빵
9,10,50,2024-01-25 08:00:00,2024-01-25 16:00:00,Medium,일반 작업,우유도넛
10,10,200,2024-01-28 08:00:00,2024-01-28 16:00:00,High,일반 작업,우유도넛
11,12,100,2024-01-31 08:00:00,2024-01-31 16:00:00,Low,일반 작업,카라멜 러스크
12,6,150,2024-02-03 08:00:00,2024-02-03 16:00:00,Medium,일반 작업,베이글빵
13,7,50,2024-02-06 08:00:00,2024-02-06 16:00:00,High,일반 작업,생크림소보로
14,12,100,2024-02-09 08:00:00,2024-02-09 16:00:00,Medium,일반 작업,카라멜 러스크
15,8,50,2024-02-12 08:00:00,2024-02-12 16:00:00,High,일반 작업,꿀버터바게트
16,2,150,2024-02-15 08:00:00,2024-02-15 16:00:00,Medium,일반 작업,단팥도넛
17,2,50,2024-02-18 08:00:00,2024-02-18 16:00:00,Medium,일반 작업,단팥도넛
18,1,200,2024-02-21 08:00:00,2024-02-21 16:00:00,Medium,일반 작업,갈릭꽈베기
19,4,200,2024-02-24 08:00:00,2024-02-24 16:00:00,Medium,일반 작업,꽈베기
20,6,150,2024-02-27 08:00:00,2024-02-27 16:00:00,Low,일반 작업,베이글빵
21,1,200,2024-03-01 08:00:00,2024-03-01 16:00:00,Low,일반 작업,갈릭꽈베기
22,1,50,2024-03-04 08:00:00,2024-03-04 16:00:00,High,일반 작업,갈릭꽈베기
23,9,150,2024-03-07 08:00:00,2024-03-07 16:00:00,Medium,일반 작업,애플파이
24,8,200,2024-03-10 08:00:00,2024-03-10 16:00:00,Medium,일반 작업,꿀버터바게트
25,1,50,2024-03-13 08:00:00,2024-03-13 16:00:00,Medium,일반 작업,갈릭꽈베기
26,1,100,2024-03-16 08:00:00,2024-03-16 16:00:00,Medium,일반 작업,갈릭꽈베기
27,10,50,2024-03-19 08:00:00,2024-03-19 16:00:00,Low,일반 작업,우유도넛
28,3,50,2024-03-22 08:00:00,2024-03-22 16:00:00,Low,일반 작업,고구마케이크빵
29,9,150,2024-03-25 08:00:00,2024-03-25 16:00:00,Low,일반 작업,애플파이
30,9,50,2024-03-28 08:00:00,2024-03-28 16:00:00,Low,일반 작업,애플파이
31,13,50,2024-03-31 08:00:00,2024-03-31 16:00:00,Medium,일반 작업,캐찰빵
32,4,50,2024-04-03 08:00:00,2024-04-03 16:00:00,Low,일반 작업,꽈베기
33,3,100,2024-04-06 08:00:00,2024-04-06 16:00:00,Low,일반 작업,고구마케이크빵
34,2,50,2024-04-09 08:00:00,2024-04-09 16:00:00,Medium,일반 작업,단팥도넛
35,5,200,2024-04-12 08:00:00,2024-04-12 16:00:00,High,일반 작업,라우겐
36,3,100,2024-04-15 08:00:00,2024-04-15 16:00:00,Medium,일반 작업,고구마케이크빵
37,11,100,2024-04-18 08:00:00,2024-04-18 16:00:00,High,일반 작업,찹쌀브레드
38,10,200,2024-04-21 08:00:00,2024-04-21 16:00:00,Medium,일반 작업,우유도넛
39,3,100,2024-04-24 08:00:00,2024-04-24 16:00:00,Medium,일반 작업,고구마케이크빵
40,13,100,2024-04-27 08:00:00,2024-04-27 16:00:00,High,일반 작업,캐찰빵
41,7,50,2024-04-30 08:00:00,2024-04-30 16:00:00,Low,일반 작업,생크림소보로
42,7,200,2024-05-03 08:00:00,2024-05-03 16:00:00,Medium,일반 작업,생크림소보로
43,3,200,2024-05-06 08:00:00,2024-05-06 16:00:00,High,일반 작업,고구마케이크빵
44,7,150,2024-05-09 08:00:00,2024-05-09 16:00:00,Medium,일반 작업,생크림소보로
45,4,150,2024-05-12 08:00:00,2024-05-12 16:00:00,Medium,일반 작업,꽈베기
46,2,150,2024-05-15 08:00:00,2024-05-15 16:00:00,Medium,일반 작업,단팥도넛
47,7,200,2024-05-18 08:00:00,2024-05-18 16:00:00,High,일반 작업,생크림소보로
48,1,150,2024-05-21 08:00:00,2024-05-21 16:00:00,Low,일반 작업,갈릭꽈베기
49,13,50,2024-05-24 08:00:00,2024-05-24 16:00:00,High,일반 작업,캐찰빵
50,7,200,2024-05-27 08:00:00,2024-05-27 16:00:00,Medium,일반 작업,생크림소보로
51,7,100,2024-05-30 08:00:00,2024-05-30 16:00:00,High,일반 작업,생크림소보로
52,1,150,2024-06-02 08:00:00,2024-06-02 16:00:00,High,일반 작업,갈릭꽈베기
53,12,100,2024-06-05 08:00:00,2024-06-05 16:00:00,Low,일반 작업,카라멜 러스크
54,1,100,2024-06-08 08:00:00,2024-06-08 16:00:00,High,일반 작업,갈릭꽈베기
55,4,150,2024-06-11 08:00:00,2024-06-11 16:00:00,Medium,일반 작업,꽈베기
56,2,100,2024-06-14 08:00:00,2024-06-14 16:00:00,Low,일반 작업,단팥도넛
57,2,50,2024-06-17 08:00:00,2024-06-17 16:00:00,Low,일반 작업,단팥도넛
58,13,100,2024-06-20 08:00:00,2024-06-20 16:00:00,Medium,일반 작업,캐찰빵
59,7,150,2024-06-23 08:00:00,2024-06-23 16:00:00,Medium,일반 작업,생크림소보로
60,9,50,2024-06-26 08:00:00,2024-06-26 16:00:00,Medium,일반 작업,애플파이
61,13,100,2024-06-29 08:00:00,2024-06-29 16:00:00,Medium,일반 작업,캐찰빵
62,12,100,2024-07-02 08:00:00,2024-07-02 16:00:00,Medium,일반 작업,카라멜 러스크
63,13,150,2024-07-05 08:00:00,2024-07-05 16:00:00,Low,일반 작업,캐찰빵
64,4,100,2024-07-08 08:00:00,2024-07-08 16:00:00,Low,일반 작업,꽈베기
65,6,100,2024-07-11 08:00:00,2024-07-11 16:00:00,Medium,일반 작업,베이글빵
66,2,200,2024-07-14 08:00:00,2024-07-14 16:00:00,High,일반 작업,단팥도넛
67,2,150,2024-07-17 08:00:00,2024-07-17 16:00:00,Medium,일반 작업,단팥도넛
68,6,200,2024-07-20 08:00:00,2024-07-20 16:00:00,High,일반 작업,베이글빵
69,7,200,2024-07-23 08:00:00,2024-07-23 16:00:00,High,일반 작업,생크림소보로
70,12,100,2024-07-26 08:00:00,2024-07-26 16:00:00,Medium,일반 작업,카라멜 러스크
71,9,100,2024-07-29 08:00:00,2024-07-29 16:00:00,Medium,일반 작업,애플파이
72,7,200,2024-08-01 08:00:00,2024-08-01 16:00:00,Low,일반 작업,생크림소보로
73,10,50,2024-08-04 08:00:00,2024-08-04 16:00:00,Low,일반 작업,우유도넛
74,12,150,2024-08-07 08:00:00,2024-08-07 16:00:00,Medium,일반 작업,카라멜 러스크
75,13,150,2024-08-10 08:00:00,2024-08-10 16:00:00,High,일반 작업,캐찰빵
76,8,100,2024-08-13 08:00:00,2024-08-13 16:00:00,Medium,일반 작업,꿀버터바게트
77,1,200,2024-08-16 08:00:00,2024-08-16 16:00:00,High,일반 작업,갈릭꽈베기
78,6,150,2024-08-19 08:00:00,2024-08-19 16:00:00,High,일반 작업,베이글빵
79,8,150,2024-08-22 08:00:00,2024-08-22 16:00:00,High,일반 작업,꿀버터바게트
80,10,50,2024-08-25 08:00:00,2024-08-25 16:00:00,Low,일반 작업,우유도넛
81,5,50,2024-08-28 08:00:00,2024-08-28 16:00:00,High,일반 작업,라우겐
82,7,50,2024-08-31 08:00:00,2024-08-31 16:00:00,Low,일반 작업,생크림소보로
83,11,200,2024-09-03 08:00:00,2024-09-03 16:00:00,Low,일반 작업,찹쌀브레드
84,7,150,2024-09-06 08:00:00,2024-09-06 16:00:00,High,일반 작업,생크림소보로
85,9,100,2024-09-09 08:00:00,2024-09-09 16:00:00,Medium,일반 작업,애플파이
86,4,150,2024-09-12 08:00:00,2024-09-12 16:00:00,High,일반 작업,꽈베기
87,3,200,2024-09-15 08:00:00,2024-09-15 16:00:00,Medium,일반 작업,고구마케이크빵
88,9,150,2024-09-18 08:00:00,2024-09-18 16:00:00,High,일반 작업,애플파이
89,1,100,2024-09-21 08:00:00,2024-09-21 16:00:00,Medium,일반 작업,갈릭꽈베기
90,1,150,2024-09-24 08:00:00,2024-09-24 16:00:00,Low,일반 작업,갈릭꽈베기
91,8,150,2024-09-27 08:00:00,2024-09-27 16:00:00,Medium,일반 작업,꿀버터바게트
92,7,150,2024-09-30 08:00:00,2024-09-30 16:00:00,Medium,일반 작업,생크림소보로
93,9,100,2024-10-03 08:00:00,2024-10-03 16:00:00,Medium,일반 작업,애플파이
94,3,50,2024-10-06 08:00:00,2024-10-06 16:00:00,High,일반 작업,고구마케이크빵
95,4,100,2024-10-09 08:00:00,2024-10-09 16:00:00,Medium,일반 작업,꽈베기
96,5,100,2024-10-12 08:00:00,2024-10-12 16:00:00,Low,일반 작업,라우겐
97,12,150,2024-10-15 08:00:00,2024-10-15 16:00:00,Medium,일반 작업,카라멜 러스크
