OrderID,Temperature,Humidity,ProductionRate,OperationTime,StartTime
4,27.5,67,0,0,2024-05-10 8:30
4,27.5,66.7,0.1,0,2024-05-10 8:30
4,27.4,67.3,0.1,0,2024-05-10 8:30
4,27.6,66.9,0.2,0,2024-05-10 8:30
4,27.5,66.8,0.2,0,2024-05-10 8:30
4,27.5,67.1,0.3,0,2024-05-10 8:30
4,27.5,67.5,0.3,0,2024-05-10 8:31
4,27.5,66.5,0.4,0,2024-05-10 8:31
4,27.5,66.7,0.4,0,2024-05-10 8:31
4,27.6,66.6,0.4,0,2024-05-10 8:31
4,27.5,67.3,0.5,0,2024-05-10 8:31
4,27.4,66.7,0.5,0,2024-05-10 8:31
4,27.4,66.6,0.6,0,2024-05-10 8:32
4,27.6,66.8,0.6,0,2024-05-10 8:32
4,27.5,66.7,0.7,0,2024-05-10 8:32
4,27.4,66.6,0.7,0,2024-05-10 8:32
4,27.6,67.1,0.8,0,2024-05-10 8:32
4,27.4,67.1,0.8,0,2024-05-10 8:32
4,27.6,67.3,0.9,0,2024-05-10 8:33
4,27.5,66.7,0.9,0,2024-05-10 8:33
4,27.5,66.6,0.9,0,2024-05-10 8:33
4,27.5,66.7,1,0,2024-05-10 8:33
4,27.5,66.5,1,0,2024-05-10 8:33
4,27.6,66.6,1.1,0,2024-05-10 8:33
4,27.5,67.5,1.1,0,2024-05-10 8:34
4,27.5,66.9,1.2,0,2024-05-10 8:34
4,27.4,66.7,1.2,0,2024-05-10 8:34
4,27.6,67.3,1.3,0,2024-05-10 8:34
4,27.4,66.9,1.3,0,2024-05-10 8:34
4,27.5,66.6,1.3,0,2024-05-10 8:34
4,27.5,67.3,1.4,0,2024-05-10 8:35
4,27.5,67.5,1.4,0,2024-05-10 8:35
4,27.4,67.2,1.5,0,2024-05-10 8:35
4,27.4,66.7,1.5,0,2024-05-10 8:35
4,27.5,66.8,1.6,0,2024-05-10 8:35
4,27.5,66.7,1.6,0,2024-05-10 8:35
4,27.6,67,1.7,1,2024-05-10 8:36
4,27.6,67.4,1.7,1,2024-05-10 8:36
4,27.6,66.8,1.7,1,2024-05-10 8:36
4,27.5,66.9,1.8,1,2024-05-10 8:36
4,27.5,66.6,1.8,1,2024-05-10 8:36
4,27.5,66.5,1.9,1,2024-05-10 8:36
4,27.5,67.1,1.9,1,2024-05-10 8:37
4,27.5,67.5,2,1,2024-05-10 8:37
4,27.4,67,2,1,2024-05-10 8:37
4,27.4,67,2.1,1,2024-05-10 8:37
4,27.4,66.6,2.1,1,2024-05-10 8:37
4,27.5,67.2,2.2,1,2024-05-10 8:37
4,27.5,67.3,2.2,1,2024-05-10 8:38
4,27.6,66.9,2.2,1,2024-05-10 8:38
4,27.6,67.2,2.3,1,2024-05-10 8:38
4,27.5,67.5,2.3,1,2024-05-10 8:38
4,27.5,67.1,2.4,1,2024-05-10 8:38
4,27.4,67.2,2.4,1,2024-05-10 8:38
4,27.4,67.3,2.5,1,2024-05-10 8:39
4,27.6,66.5,2.5,1,2024-05-10 8:39
4,27.4,67.2,2.6,1,2024-05-10 8:39
4,27.5,67.5,2.6,1,2024-05-10 8:39
4,27.5,67,2.6,1,2024-05-10 8:39
4,27.6,66.9,2.7,1,2024-05-10 8:39
4,27.4,66.7,2.7,1,2024-05-10 8:40
4,27.5,66.7,2.8,1,2024-05-10 8:40
4,27.6,66.7,2.8,1,2024-05-10 8:40
4,27.5,67.2,2.9,1,2024-05-10 8:40
4,27.5,66.8,2.9,1,2024-05-10 8:40
4,27.5,67,3,1,2024-05-10 8:40
4,27.6,66.7,3,1,2024-05-10 8:41
4,27.5,66.8,3,1,2024-05-10 8:41
4,27.5,67.4,3.1,1,2024-05-10 8:41
4,27.4,67.4,3.1,1,2024-05-10 8:41
4,27.6,67.5,3.2,1,2024-05-10 8:41
4,27.5,66.5,3.2,1,2024-05-10 8:41
4,27.5,66.6,3.3,1,2024-05-10 8:42
4,27.4,66.9,3.3,2,2024-05-10 8:42
4,27.5,66.6,3.4,2,2024-05-10 8:42
4,27.6,67.1,3.4,2,2024-05-10 8:42
4,27.6,67.4,3.4,2,2024-05-10 8:42
4,27.6,67.2,3.5,2,2024-05-10 8:42
4,27.6,67.3,3.5,2,2024-05-10 8:43
4,27.5,66.9,3.6,2,2024-05-10 8:43
4,27.5,67,3.6,2,2024-05-10 8:43
4,27.5,66.6,3.7,2,2024-05-10 8:43
4,27.6,66.9,3.7,2,2024-05-10 8:43
4,27.5,66.5,3.8,2,2024-05-10 8:43
4,27.5,66.8,3.8,2,2024-05-10 8:44
4,27.6,66.6,3.9,2,2024-05-10 8:44
4,27.5,66.7,3.9,2,2024-05-10 8:44
4,27.6,67,3.9,2,2024-05-10 8:44
4,27.6,67.1,4,2,2024-05-10 8:44
4,27.6,67,4,2,2024-05-10 8:44
4,27.5,66.8,4.1,2,2024-05-10 8:45
4,27.6,67.1,4.1,2,2024-05-10 8:45
4,27.5,67.5,4.2,2,2024-05-10 8:45
4,27.6,67.1,4.2,2,2024-05-10 8:45
4,27.5,66.8,4.3,2,2024-05-10 8:45
4,27.5,67.1,4.3,2,2024-05-10 8:45
4,27.5,66.9,4.3,2,2024-05-10 8:46
4,27.5,66.7,4.4,2,2024-05-10 8:46
4,27.5,66.9,4.4,2,2024-05-10 8:46
4,27.4,66.7,4.5,2,2024-05-10 8:46
4,27.5,67.4,4.5,2,2024-05-10 8:46
4,27.5,67.2,4.6,2,2024-05-10 8:46
4,27.5,67,4.6,2,2024-05-10 8:47
4,27.6,67.2,4.7,2,2024-05-10 8:47
4,27.5,66.8,4.7,2,2024-05-10 8:47
4,27.6,67,4.7,2,2024-05-10 8:47
4,27.4,66.7,4.8,2,2024-05-10 8:47
4,27.5,66.6,4.8,2,2024-05-10 8:47
4,27.6,67.2,4.9,2,2024-05-10 8:48
4,27.5,66.6,4.9,3,2024-05-10 8:48
4,27.5,67.3,5,3,2024-05-10 8:48
4,27.5,67.1,5,3,2024-05-10 8:48
4,27.5,66.9,5.1,3,2024-05-10 8:48
4,27.4,67.2,5.1,3,2024-05-10 8:48
4,27.4,67.4,5.2,3,2024-05-10 8:49
4,27.6,67.4,5.2,3,2024-05-10 8:49
4,27.4,67.4,5.2,3,2024-05-10 8:49
4,27.5,67.4,5.3,3,2024-05-10 8:49
4,27.4,66.9,5.3,3,2024-05-10 8:49
4,27.5,67.3,5.4,3,2024-05-10 8:49
4,27.5,66.6,5.4,3,2024-05-10 8:50
4,27.6,66.9,5.5,3,2024-05-10 8:50
4,27.4,67.2,5.5,3,2024-05-10 8:50
4,27.5,67.2,5.6,3,2024-05-10 8:50
4,27.5,67.1,5.6,3,2024-05-10 8:50
4,27.5,66.6,5.6,3,2024-05-10 8:50
4,27.4,66.7,5.7,3,2024-05-10 8:51
4,27.5,66.6,5.7,3,2024-05-10 8:51
4,27.5,66.9,5.8,3,2024-05-10 8:51
4,27.5,66.9,5.8,3,2024-05-10 8:51
4,27.5,66.8,5.9,3,2024-05-10 8:51
4,27.4,67.5,5.9,3,2024-05-10 8:51
4,27.4,67.5,6,3,2024-05-10 8:52
4,27.5,67.2,6,3,2024-05-10 8:52
4,27.5,67.3,6,3,2024-05-10 8:52
4,27.5,66.9,6.1,3,2024-05-10 8:52
4,27.5,67.2,6.1,3,2024-05-10 8:52
4,27.5,66.8,6.2,3,2024-05-10 8:52
4,27.4,67.1,6.2,3,2024-05-10 8:53
4,27.4,66.9,6.3,3,2024-05-10 8:53
4,27.6,66.8,6.3,3,2024-05-10 8:53
4,27.6,67.4,6.4,3,2024-05-10 8:53
4,27.6,66.9,6.4,3,2024-05-10 8:53
4,27.5,67.5,6.5,3,2024-05-10 8:53
4,27.5,67.2,6.5,4,2024-05-10 8:54
4,27.6,67.3,6.5,4,2024-05-10 8:54
4,27.4,66.7,6.6,4,2024-05-10 8:54
4,27.5,66.7,6.6,4,2024-05-10 8:54
4,27.4,67.2,6.7,4,2024-05-10 8:54
4,27.4,67.3,6.7,4,2024-05-10 8:54
4,27.4,67.5,6.8,4,2024-05-10 8:55
4,27.4,67.3,6.8,4,2024-05-10 8:55
4,27.4,67.3,6.9,4,2024-05-10 8:55
4,27.5,66.7,6.9,4,2024-05-10 8:55
4,27.4,66.5,6.9,4,2024-05-10 8:55
4,27.5,67,7,4,2024-05-10 8:55
4,27.5,67.3,7,4,2024-05-10 8:56
4,27.5,66.6,7.1,4,2024-05-10 8:56
4,27.6,67.5,7.1,4,2024-05-10 8:56
4,27.4,66.5,7.2,4,2024-05-10 8:56
4,27.6,67.1,7.2,4,2024-05-10 8:56
4,27.5,67,7.3,4,2024-05-10 8:56
4,27.5,67.2,7.3,4,2024-05-10 8:57
4,27.5,66.7,7.3,4,2024-05-10 8:57
4,27.5,66.8,7.4,4,2024-05-10 8:57
4,27.4,66.5,7.4,4,2024-05-10 8:57
4,27.6,66.6,7.5,4,2024-05-10 8:57
4,27.4,66.9,7.5,4,2024-05-10 8:57
4,27.4,67,7.6,4,2024-05-10 8:58
4,27.6,67.3,7.6,4,2024-05-10 8:58
4,27.4,67,7.7,4,2024-05-10 8:58
4,27.4,67.4,7.7,4,2024-05-10 8:58
4,27.6,66.8,7.8,4,2024-05-10 8:58
4,27.6,66.6,7.8,4,2024-05-10 8:58
4,27.6,67.4,7.8,4,2024-05-10 8:59
4,27.6,66.6,7.9,4,2024-05-10 8:59
4,27.6,67.2,7.9,4,2024-05-10 8:59
4,27.6,67.3,8,4,2024-05-10 8:59
4,27.6,67.4,8,4,2024-05-10 8:59
4,27.5,66.7,8.1,4,2024-05-10 8:59
4,27.6,67.3,8.1,5,2024-05-10 9:00
4,27.4,67,8.2,5,2024-05-10 9:00
4,27.6,66.6,8.2,5,2024-05-10 9:00
4,27.5,66.5,8.2,5,2024-05-10 9:00
4,27.6,67.4,8.3,5,2024-05-10 9:00
4,27.5,66.6,8.3,5,2024-05-10 9:00
4,27.5,67.2,8.4,5,2024-05-10 9:01
4,27.4,66.7,8.4,5,2024-05-10 9:01
4,27.4,67.2,8.5,5,2024-05-10 9:01
4,27.5,66.8,8.5,5,2024-05-10 9:01
4,27.5,67.1,8.6,5,2024-05-10 9:01
4,27.4,66.7,8.6,5,2024-05-10 9:01
4,27.4,66.9,8.6,5,2024-05-10 9:02
4,27.5,67.3,8.7,5,2024-05-10 9:02
4,27.5,67.3,8.7,5,2024-05-10 9:02
4,27.4,67.1,8.8,5,2024-05-10 9:02
4,27.5,67.4,8.8,5,2024-05-10 9:02
4,27.5,66.5,8.9,5,2024-05-10 9:02
4,27.5,67.1,8.9,5,2024-05-10 9:03
4,27.5,66.8,9,5,2024-05-10 9:03
4,27.4,67.1,9,5,2024-05-10 9:03
4,27.6,67.1,9.1,5,2024-05-10 9:03
4,27.6,66.7,9.1,5,2024-05-10 9:03
4,27.5,67.3,9.1,5,2024-05-10 9:03
4,27.4,67.3,9.2,5,2024-05-10 9:04
4,27.5,66.8,9.2,5,2024-05-10 9:04
4,27.6,67.3,9.3,5,2024-05-10 9:04
4,27.5,67.3,9.3,5,2024-05-10 9:04
4,27.4,67.5,9.4,5,2024-05-10 9:04
4,27.5,66.7,9.4,5,2024-05-10 9:04
4,27.5,67.2,9.5,5,2024-05-10 9:05
4,27.6,66.7,9.5,5,2024-05-10 9:05
4,27.5,66.9,9.5,5,2024-05-10 9:05
4,27.6,67.5,9.6,5,2024-05-10 9:05
4,27.4,67.4,9.6,5,2024-05-10 9:05
4,27.5,66.9,9.7,5,2024-05-10 9:05
4,27.6,66.9,9.7,6,2024-05-10 9:06
4,27.6,66.6,9.8,6,2024-05-10 9:06
4,27.5,67.5,9.8,6,2024-05-10 9:06
4,27.6,67.3,9.9,6,2024-05-10 9:06
4,27.6,66.8,9.9,6,2024-05-10 9:06
4,27.5,66.7,9.9,6,2024-05-10 9:06
4,27.5,66.6,10,6,2024-05-10 9:07
4,27.6,66.6,10,6,2024-05-10 9:07
4,27.5,66.7,10.1,6,2024-05-10 9:07
4,27.4,66.6,10.1,6,2024-05-10 9:07
4,27.4,67.1,10.2,6,2024-05-10 9:07
4,27.5,67.2,10.2,6,2024-05-10 9:07
4,27.6,66.6,10.3,6,2024-05-10 9:08
4,27.5,67.2,10.3,6,2024-05-10 9:08
4,27.5,66.8,10.3,6,2024-05-10 9:08
4,27.6,67.1,10.4,6,2024-05-10 9:08
4,27.5,66.5,10.4,6,2024-05-10 9:08
4,27.6,67,10.5,6,2024-05-10 9:08
4,27.5,67.4,10.5,6,2024-05-10 9:09
4,27.5,66.9,10.6,6,2024-05-10 9:09
4,27.5,66.8,10.6,6,2024-05-10 9:09
4,27.4,66.7,10.7,6,2024-05-10 9:09
4,27.4,67.2,10.7,6,2024-05-10 9:09
4,27.6,67.3,10.8,6,2024-05-10 9:09
4,27.4,67.4,10.8,6,2024-05-10 9:10
4,27.6,66.9,10.8,6,2024-05-10 9:10
4,27.5,67.1,10.9,6,2024-05-10 9:10
4,27.4,67.3,10.9,6,2024-05-10 9:10
4,27.4,67.1,11,6,2024-05-10 9:10
4,27.6,67.4,11,6,2024-05-10 9:10
